"location_code","region_code","name","location_type","description","address","website_url","is_active"
"LOC_011","REG_012","JA전농 아오모리 아그리숍 아오모리점(JA全農あおもり アグリショップ青森店)","기념품샵","아스팜 안의 농산물 전문 매장으로, 아오모리 사과와 마늘, 사과주스 등 농산 가공품을 판매한다.","〒030-0803 青森県青森市安方1丁目1番40号 青森県観光物産館アスパム内","https://maps.google.com/maps?q=JA%E5%85%A8%E8%BE%B2%E3%81%82%E3%81%8A%E3%82%82%E3%82%8A+%E3%82%A2%E3%82%B0%E3%83%AA%E3%82%B7%E3%83%A7%E3%83%83%E3%83%97%E9%9D%92%E6%A3%AE%E5%BA%97","1"
"LOC_012","REG_012","히로사키시 링고공원 링고노이에(弘前市りんご公園 りんごの家)","기념품샵","히로사키시 링고공원 안에 있는 방문객 시설 겸 매점으로, 사과 관련 기념품과 kimori 시드르를 구입할 수 있다.","〒036-8262 青森県弘前市大字清水富田字寺沢125 弘前市りんご公園内","https://maps.google.com/maps?q=%E5%BC%98%E5%89%8D%E5%B8%82%E3%82%8A%E3%82%93%E3%81%94%E5%85%AC%E5%9C%92+%E3%82%8A%E3%82%93%E3%81%94%E3%81%AE%E5%AE%B6","1"
"LOC_013","REG_012","쓰가루누리 다나카 도테마치점(津軽塗たなか 土手町店)","기타","히로사키 도테마치의 쓰가루누리 전문점으로, 자체 제작한 젓가락과 칠기류를 매장에서 직접 고를 수 있다.","〒036-8182 青森県弘前市土手町24-10","https://maps.google.com/maps?q=%E6%B4%A5%E8%BB%BD%E5%A1%97%E3%81%9F%E3%81%AA%E3%81%8B+%E5%9C%9F%E6%89%8B%E7%94%BA%E5%BA%97","1"
"LOC_014","REG_012","기무라목품제작소 공장 2층 매장(木村木品製作所 工場2F)","기타","히로사키의 목공 제작소로, 사과나무를 활용한 인테리어 잡화와 목제품을 공장 2층에서 판매한다.","〒036-8131 青森県弘前市千年4-3-17","https://maps.google.com/maps?q=%E6%9C%A8%E6%9D%91%E6%9C%A8%E5%93%81%E8%A3%BD%E4%BD%9C%E6%89%80+%E5%B7%A5%E5%A0%B42F+%E3%80%92036-8131+%E9%9D%92%E6%A3%AE%E7%9C%8C%E5%BC%98%E5%89%8D%E5%B8%82%E5%8D%83%E5%B9%B44-3-17","1"
"LOC_015","REG_012","아오모리 민공예점 크래프트 아스팜(あおもり民工芸店クラフトアスパム)","기념품샵","아스팜 1층의 전통공예품 전문점으로, 쓰가루누리와 브나코, 고긴자시 같은 아오모리 공예품을 취급한다.","〒030-0803 青森県青森市安方1丁目1-40 青森県観光物産館アスパム1階","https://maps.google.com/maps?q=%E3%81%82%E3%81%8A%E3%82%82%E3%82%8A%E6%B0%91%E5%B7%A5%E8%8A%B8%E5%BA%97%E3%82%AF%E3%83%A9%E3%83%95%E3%83%88%E3%82%A2%E3%82%B9%E3%83%91%E3%83%A0","1"
"LOC_016","REG_012","쓰가루누리 전문점 에비스야(津軽塗専門店 恵比須屋)","기타","아오모리시 혼초의 쓰가루누리 전문점으로, 젓가락과 젓가락받침 등 전통 칠기 소품을 판매한다.","青森県青森市本町1-1-41","https://maps.google.com/maps?q=%E6%B4%A5%E8%BB%BD%E5%A1%97%E5%B0%82%E9%96%80%E5%BA%97+%E6%81%B5%E6%AF%94%E9%A0%88%E5%B1%8B+%E9%9D%92%E6%A3%AE%E5%B8%82%E6%9C%AC%E7%94%BA1-1-41","1"
"LOC_017","REG_012","아오모리 히바 전문점 와이도노키 손수목공관(青森ヒバ専門店 わいどの木 手作り木工館)","기타","가자마우라촌의 아오모리 히바 전문 목공점으로, 히바 생활용품과 목공 소품을 직접 보고 구매할 수 있다.","〒039-4502 青森県下北郡風間浦村大字易国間字大川目6-7","https://maps.google.com/maps?q=%E9%9D%92%E6%A3%AE%E3%83%92%E3%83%90%E5%B0%82%E9%96%80%E5%BA%97+%E3%82%8F%E3%81%84%E3%81%A9%E3%81%AE%E6%9C%A8+%E6%89%8B%E4%BD%9C%E3%82%8A%E6%9C%A8%E5%B7%A5%E9%A4%A8+%E3%80%92039-4502+%E9%9D%92%E6%A3%AE%E7%9C%8C%E4%B8%8B%E5%8C%97%E9%83%A1%E9%A2%A8%E9%96%93%E6%B5%A6%E6%9D%91%E5%A4%A7%E5%AD%97%E6%98%93%E5%9B%BD%E9%96%93%E5%AD%97%E5%A4%A7%E5%B7%9D%E7%9B%AE6-7","1"
"LOC_018","REG_012","아메노 다카미야(飴のたかみや)","기타","시치노헤마치의 수제 사탕점으로, 아오모리산 과일을 활용한 사탕 제품을 직접 만든다.","〒039-2578 青森県上北郡七戸町字貝ノ口100-1","https://maps.google.com/maps?q=%E9%A3%B4%E3%81%AE%E3%81%9F%E3%81%8B%E3%81%BF%E3%82%84+%E9%9D%92%E6%A3%AE%E7%9C%8C%E4%B8%8A%E5%8C%97%E9%83%A1%E4%B8%83%E6%88%B8%E7%94%BA%E5%AD%97%E8%B2%9D%E3%83%8E%E5%8F%A3100-1","1"
"LOC_019","REG_013","우에다표고전문점 별부 본점(上田椎茸専門店 別府本店)","기타","벳푸의 오이타산 건표고 전문점으로, 표고 다시와 표고 가공품을 직접 살 수 있는 직영 매장이다.","〒874-0840 大分県別府市大字鶴見950番地の58","https://maps.google.com/maps?q=%E4%B8%8A%E7%94%B0%E6%A4%8E%E8%8C%B8%E5%B0%82%E9%96%80%E5%BA%97+%E5%88%A5%E5%BA%9C%E6%9C%AC%E5%BA%97","1"
"LOC_020","REG_013","산쿄제과 본사 공장(三協製菓 本社工場)","기타","벳푸의 지역 과자 제조사로, 카보스모치와 자봉 과자 등 오이타·벳푸 과자를 만드는 공장 겸 판매처다.","〒874-0828 大分県別府市山の手町10番23号","https://maps.google.com/maps?q=%E4%B8%89%E5%8D%94%E8%A3%BD%E8%8F%93+%E6%9C%AC%E7%A4%BE%E5%B7%A5%E5%A0%B4+%E3%80%92874-0828+%E5%A4%A7%E5%88%86%E7%9C%8C%E5%88%A5%E5%BA%9C%E5%B8%82%E5%B1%B1%E3%81%AE%E6%89%8B%E7%94%BA10%E7%95%AA23%E5%8F%B7","1"
"LOC_021","REG_013","소라노에키 타비토 대분공항점(空の駅 旅人 大分空港店)","공항","대분공항 2층의 대형 기념품 매장으로, 오이타의 과자와 식품, 술, 잡화 등 약 3000개 품목을 취급한다.","〒873-0212 大分県国東市安岐町下原13 大分空港2階","https://maps.google.com/maps?q=%E7%A9%BA%E3%81%AE%E9%A7%85+%E6%97%85%E4%BA%BA+%E5%A4%A7%E5%88%86%E7%A9%BA%E6%B8%AF%E5%BA%97+%E3%80%92873-0212+%E5%A4%A7%E5%88%86%E7%9C%8C%E5%9B%BD%E6%9D%B1%E5%B8%82%E5%AE%89%E5%B2%90%E7%94%BA%E4%B8%8B%E5%8E%9F13+%E5%A4%A7%E5%88%86%E7%A9%BA%E6%B8%AF2%E9%9A%8E","1"
"LOC_022","REG_013","오차노 히메노엔·와카페 히메노엔(お茶の姫の園・和カフェひめのえん)","기타","대분역 인근의 차 전문점 겸 카페로, 오이타산 차와 화과자류를 판매한다.","〒870-0027 大分県大分市末広町2丁目5-12","https://maps.google.com/maps?q=%E3%81%8A%E8%8C%B6%E3%81%AE%E5%A7%AB%E3%81%AE%E5%9C%92%E3%83%BB%E5%92%8C%E3%82%AB%E3%83%95%E3%82%A7%E3%81%B2%E3%82%81%E3%81%AE%E3%81%88%E3%82%93+%E3%80%92870-0027+%E5%A4%A7%E5%88%86%E7%9C%8C%E5%A4%A7%E5%88%86%E5%B8%82%E6%9C%AB%E5%BA%83%E7%94%BA2%E4%B8%81%E7%9B%AE5-12","1"
"LOC_023","REG_013","오이타 메이드 숍 아카렌가 본점(Oita Made Shop 赤レンガ本店)","기념품샵","대분은행 아카렌가관에 있는 지역 브랜드 편집숍으로, 오이타산 식품과 잡화, Oita Made 협업 상품을 판매한다.","〒870-0021 大分県大分市府内町2丁目2-1 大分銀行赤レンガ館","https://maps.google.com/maps?q=Oita+Made+Shop+%E8%B5%A4%E3%83%AC%E3%83%B3%E3%82%AC%E6%9C%AC%E5%BA%97","1"
"LOC_024","REG_013","후지야 진베에(富士屋甚兵衛)","기타","우스키 중앙상점가에 있는 후지진간장의 안테나숍으로, 간장과 드레싱 등 자사 조미료를 구매할 수 있다.","大分県臼杵市大字臼杵本町4 中央通り商店街（八町大路）","https://maps.google.com/maps?q=%E5%AF%8C%E5%A3%AB%E5%B1%8B%E7%94%9A%E5%85%B5%E8%A1%9B+%E8%87%BC%E6%9D%B5%E5%B8%82%E6%9C%AC%E7%94%BA4","1"
"LOC_025","REG_013","사이키혼포 조카도(さいき本舗 城下堂)","기념품샵","사이키시의 지역 특산품을 모아 판매하는 관광·마을만들기 운영 숍으로, 수산 가공품과 향토 식품을 취급한다.","大分県佐伯市大手町3-3-7","https://maps.google.com/maps?q=%E3%81%95%E3%81%84%E3%81%8D%E6%9C%AC%E8%88%97+%E5%9F%8E%E4%B8%8B%E5%A0%82+%E5%A4%A7%E5%88%86%E7%9C%8C%E4%BD%90%E4%BC%AF%E5%B8%82%E5%A4%A7%E6%89%8B%E7%94%BA3-3-7","1"
"LOC_026","REG_013","대분현 표고농협 직판소(大分県椎茸農業協同組合 直売所)","기타","대분현산 건표고와 표고 가공품을 취급하는 전문 농협 직판소로, 표고 간장 같은 가공 제품도 확인할 수 있다.","大分県大分市春日浦843-69","https://maps.google.com/maps?q=%E5%A4%A7%E5%88%86%E7%9C%8C%E6%A4%8E%E8%8C%B8%E8%BE%B2%E6%A5%AD%E5%8D%94%E5%90%8C%E7%B5%84%E5%90%88+%E7%9B%B4%E5%A3%B2%E6%89%80+%E5%A4%A7%E5%88%86%E7%9C%8C%E5%A4%A7%E5%88%86%E5%B8%82%E6%98%A5%E6%97%A5%E6%B5%A6843-69","1"
"LOC_027","REG_013","분고미식공방 키즈나야 직매소(豊後美食工房 絆屋 直売所)","기타","기쓰키시에 있는 수산 가공품 공방 겸 직매소로, 류큐와 카보스부리 등 오이타 해산물 가공품을 판매한다.","〒873-0007 大分県杵築市大字片野字神領1014番1","https://maps.google.com/maps?q=%E8%B1%8A%E5%BE%8C%E7%BE%8E%E9%A3%9F%E5%B7%A5%E6%88%BF+%E7%B5%86%E5%B1%8B+%E7%9B%B4%E5%A3%B2%E6%89%80+%E3%80%92873-0007+%E5%A4%A7%E5%88%86%E7%9C%8C%E6%9D%B5%E7%AF%89%E5%B8%82%E5%A4%A7%E5%AD%97%E7%89%87%E9%87%8E%E5%AD%97%E7%A5%9E%E9%A0%981014%E7%95%AA1","1"
"LOC_028","REG_013","고토제과 신마치점(後藤製菓 新町店)","기타","우스키 시내에 있는 후토제과의 오래된 직영점으로, 우스키 센베이와 지역 재료를 쓴 전병류를 판매한다.","大分県臼杵市大字臼杵新町612","https://maps.google.com/maps?q=%E5%BE%8C%E8%97%A4%E8%A3%BD%E8%8F%93+%E6%96%B0%E7%94%BA%E5%BA%97+%E8%87%BC%E6%9D%B5%E5%B8%82%E8%87%BC%E6%9D%B5%E6%96%B0%E7%94%BA612","1"
"LOC_029","REG_013","조토쿠야주조장(常徳屋酒造場)","기타","우사시에 있는 오래된 주조장으로, 상덕야 브랜드의 보리소주와 카보스 리큐르를 현장에서 구매할 수 있다.","大分県宇佐市大字四日市1205-2","https://maps.google.com/maps?q=%E5%B8%B8%E5%BE%B3%E5%B1%8B%E9%85%92%E9%80%A0%E5%A0%B4+%E5%AE%87%E4%BD%90%E5%B8%82%E5%9B%9B%E6%97%A5%E5%B8%821205-2","1"
"LOC_030","REG_013","가야시마주류 후쿠주야(萱島酒類 福寿屋)","기타","다케타 성하마을에서萱島酒類의 소주와 청주를 판매하는 직영점.","大分県竹田市大字竹田町398","https://maps.google.com/maps?q=%E8%90%B1%E5%B3%B6%E9%85%92%E9%A1%9E+%E7%A6%8F%E5%AF%BF%E5%B1%8B+%E7%AB%B9%E7%94%B0%E5%B8%82%E7%AB%B9%E7%94%B0%E7%94%BA398","1"
"LOC_031","REG_013","벳푸쓰케모노 쓰케모노 왕자점(別府漬物 つけもの王子店)","기타","벳푸의 절임식품 전문점으로, 유자고추와 절임류 등 현지 조미·저장식품을 판매한다.","〒874-0829 大分県別府市上原町7-15","https://maps.google.com/maps?q=%E5%88%A5%E5%BA%9C%E6%BC%AC%E7%89%A9+%E3%81%A4%E3%81%91%E3%82%82%E3%81%AE%E7%8E%8B%E5%AD%90%E5%BA%97","1"
"LOC_032","REG_013","아카시분쇼도(明石文昭堂)","기타","벳푸의 문구·기념품점으로, 벳푸 모티프의 종이잡화와 대나무·디자인 소품을 취급한다.","大分県別府市駅前町11-10","https://maps.google.com/maps?q=%E6%98%8E%E7%9F%B3%E6%96%87%E6%98%AD%E5%A0%82+%E5%88%A5%E5%BA%9C%E5%B8%82%E9%A7%85%E5%89%8D%E7%94%BA11-10","1"
"LOC_033","REG_013","자비에르혼포 대분본점(ざびえる本舗 大分本店)","기타","오이타 대표 명과 자비에르와 관련 과자를 판매하는 자비에르혼포 본점.","〒870-0319 大分県大分市大分流通業務団地3丁目2番3","https://maps.google.com/maps?q=%E3%81%96%E3%81%B3%E3%81%88%E3%82%8B%E6%9C%AC%E8%88%97+%E5%A4%A7%E5%88%86%E6%9C%AC%E5%BA%97+%E5%A4%A7%E5%88%86%E6%B5%81%E9%80%9A%E6%A5%AD%E5%8B%99%E5%9B%A3%E5%9C%B03%E4%B8%81%E7%9B%AE2%E7%95%AA3","1"
"LOC_034","REG_013","난코물산 기념품 매장(南光物産 お土産売場)","기념품샵","벳푸의 지역 기념품 제조·판매 업체로, 오이타 유자고추와 온천 관련 과자류를 취급한다.","〒874-0840 大分県別府市大字鉄輪1284-2","https://maps.google.com/maps?q=%E5%8D%97%E5%85%89%E7%89%A9%E7%94%A3+%E3%81%8A%E5%9C%9F%E7%94%A3%E5%A3%B2%E5%A0%B4+%E3%80%92874-0840+%E5%A4%A7%E5%88%86%E7%9C%8C%E5%88%A5%E5%BA%9C%E5%B8%82%E5%A4%A7%E5%AD%97%E9%89%84%E8%BC%AA1284-2","1"
"LOC_035","REG_013","히타쿠스 지역산업진흥센터 전시즉매장(日田玖珠地域産業振興センター 展示即売場)","기념품샵","히타·쿠스 지역의 특산품과 공예품 약 2만 점을 판매하는 지역 물산 전시즉매장이다.","〒877-0016 大分県日田市三本松2丁目3-1","https://maps.google.com/maps?q=%E6%97%A5%E7%94%B0%E7%8E%96%E7%8F%A0%E5%9C%B0%E5%9F%9F%E7%94%A3%E6%A5%AD%E6%8C%AF%E8%88%88%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC+%E5%B1%95%E7%A4%BA%E5%8D%B3%E5%A3%B2%E5%A0%B4+%E3%80%92877-0016+%E5%A4%A7%E5%88%86%E7%9C%8C%E6%97%A5%E7%94%B0%E5%B8%82%E4%B8%89%E6%9C%AC%E6%9D%BE2%E4%B8%81%E7%9B%AE3-1","1"
"LOC_036","REG_013","마루쇼쿠 모치가하마점 산지직송 코너(マルショク 餅が浜店 産地直送コーナー)","기타","벳푸시 모치가하마의 슈퍼마켓 내 산지직송 코너로, 유와키야 간장 조미료류를 취급한다.","〒874-0924 大分県別府市餅ケ浜町7-10","https://maps.google.com/maps?q=%E3%83%9E%E3%83%AB%E3%82%B7%E3%83%A7%E3%82%AF+%E9%A4%85%E3%81%8C%E6%B5%9C%E5%BA%97+%E7%94%A3%E5%9C%B0%E7%9B%B4%E9%80%81%E3%82%B3%E3%83%BC%E3%83%8A%E3%83%BC+%E3%80%92874-0924+%E5%A4%A7%E5%88%86%E7%9C%8C%E5%88%A5%E5%BA%9C%E5%B8%82%E9%A4%85%E3%82%B1%E6%B5%9C%E7%94%BA7-10","1"
"LOC_037","REG_013","가라아게노 하나부사 본점(からあげのはなぶさ 本店)","기타","분고오노시 미에마치의 가라아게 전문점으로, 양념 생닭과 뼈있는 가라아게 상품을 판매한다.","〒879-7111 大分県豊後大野市三重町赤嶺1966","https://maps.google.com/maps?q=%E3%81%8B%E3%82%89%E3%81%82%E3%81%92%E3%81%AE%E3%81%AF%E3%81%AA%E3%81%B6%E3%81%95+%E6%9C%AC%E5%BA%97","1"
"LOC_038","REG_014","하레노쿠니 오카야마관(晴れの国おかやま館)","기념품샵","오카야마현 관광연맹이 운영하는 특산품 셀렉트숍으로, 현지 과자와 식품, 민공예품을 폭넓게 판매한다.","〒700-0822 岡山県岡山市北区表町1丁目1-22","https://maps.google.com/maps?q=%E6%99%B4%E3%82%8C%E3%81%AE%E5%9B%BD%E3%81%8A%E3%81%8B%E3%82%84%E3%81%BE%E9%A4%A8","1"
"LOC_039","REG_015","토토푸딩 돗토리사구점(Totto PURIN 鳥取砂丘店)","기념품샵","돗토리사구 앞에 있는 푸딩 전문점으로, 대표 상품인 사구 푸딩을 직접 구매할 수 있다.","〒689-0105 鳥取県鳥取市福部町湯山2164-657 サンコスモス103号","https://maps.google.com/maps?q=Totto+PURIN+%E9%B3%A5%E5%8F%96%E7%A0%82%E4%B8%98%E5%BA%97+%E3%80%92689-0105+%E9%B3%A5%E5%8F%96%E7%9C%8C%E9%B3%A5%E5%8F%96%E5%B8%82%E7%A6%8F%E9%83%A8%E7%94%BA%E6%B9%AF%E5%B1%B12164-657+%E3%82%B5%E3%83%B3%E3%82%B3%E3%82%B9%E3%83%A2%E3%82%B9103%E5%8F%B7","1"
"LOC_040","REG_015","쿄야과포 본점(京屋菓舗 本店)","기타","돗토리시 요시카타온센의 오래된 화과자점으로, 사구의 풍문과 후루사토 같은 돗토리 명과를 판매한다.","鳥取県鳥取市吉方温泉2-511","https://maps.google.com/maps?q=%E4%BA%AC%E5%B1%8B%E8%8F%93%E8%88%97+%E6%9C%AC%E5%BA%97+%E9%B3%A5%E5%8F%96%E5%B8%82%E5%90%89%E6%96%B9%E6%B8%A9%E6%B3%892-511","1"
"LOC_041","REG_015","돗토리시 후루사토물산관 마치팔 돗토리(鳥取市ふるさと物産館 まちパル鳥取)","기념품샵","돗토리역 근처의 특산품 판매관으로, 돗토리 동부의 과자와 해산물 가공품, 민예품을 폭넓게 판매한다.","〒680-0833 鳥取県鳥取市末広温泉町160","https://maps.google.com/maps?q=%E9%B3%A5%E5%8F%96%E5%B8%82%E3%81%B5%E3%82%8B%E3%81%95%E3%81%A8%E7%89%A9%E7%94%A3%E9%A4%A8+%E3%81%BE%E3%81%A1%E3%83%91%E3%83%AB%E9%B3%A5%E5%8F%96","1"
"LOC_042","REG_015","깃코야 본점(亀甲や 本店)","기타","돗토리시 가타하라의 오래된 화과자점으로, 이십세기와 돗토리 브랜 케이크 등 지역 명과를 판매한다.","〒680-0023 鳥取県鳥取市片原2丁目116","https://maps.google.com/maps?q=%E4%BA%80%E7%94%B2%E3%82%84+%E6%9C%AC%E5%BA%97+%E3%80%92680-0023+%E9%B3%A5%E5%8F%96%E7%9C%8C%E9%B3%A5%E5%8F%96%E5%B8%82%E7%89%87%E5%8E%9F2%E4%B8%81%E7%9B%AE116","1"
"LOC_043","REG_015","나카가와주조(中川酒造)","기타","돗토리시 다치카와초의 주조장으로, 이나바즈루 고리키 계열 상품을 현장에서 구매할 수 있다.","鳥取県鳥取市立川町2-305","https://maps.google.com/maps?q=%E4%B8%AD%E5%B7%9D%E9%85%92%E9%80%A0+%E9%B3%A5%E5%8F%96%E5%B8%82%E7%AB%8B%E5%B7%9D%E7%94%BA2-305","1"
"LOC_044","REG_015","미치노에키 세이류차야 가와하라(道の駅 清流茶屋かわはら)","기념품샵","돗토리시 가와하라IC 근처의 도로역으로, 지역 특산품과 오리지널 카레 가공품을 판매한다.","〒680-1242 鳥取県鳥取市河原町高福837","https://maps.google.com/maps?q=%E9%81%93%E3%81%AE%E9%A7%85+%E6%B8%85%E6%B5%81%E8%8C%B6%E5%B1%8B%E3%81%8B%E3%82%8F%E3%81%AF%E3%82%89","1"
"LOC_045","REG_015","우루와시 재패니즈티(URUWASHI JAPANESETEA)","기타","돗토리 와카사마치의 일본차 스탠드로 일본차와 차 과자를 판매하는 매장.","〒680-0701 鳥取県八頭郡若桜町若桜379","https://maps.google.com/maps?q=URUWASHI+JAPANESETEA+%E9%B3%A5%E5%8F%96%E7%9C%8C%E5%85%AB%E9%A0%AD%E9%83%A1%E8%8B%A5%E6%A1%9C%E7%94%BA%E8%8B%A5%E6%A1%9C379","1"
"LOC_046","REG_015","요시오카온천 아즈마야상노 푸딩 샤미네돗토리점(吉岡温泉あづまやさんのプリン シャミネ鳥取店)","역","돗토리역 샤미네 본관에 있는 요시오카온천 아즈마야상노 푸딩 전문 매장.","〒680-0835 鳥取県鳥取市東品治町111-1 シャミネ鳥取 本館","https://maps.google.com/maps?q=%E5%90%89%E5%B2%A1%E6%B8%A9%E6%B3%89%E3%81%82%E3%81%A5%E3%81%BE%E3%82%84%E3%81%95%E3%82%93%E3%81%AE%E3%83%97%E3%83%AA%E3%83%B3+%E3%82%B7%E3%83%A3%E3%83%9F%E3%83%8D%E9%B3%A5%E5%8F%96%E5%BA%97+%E3%80%92680-0835+%E9%B3%A5%E5%8F%96%E7%9C%8C%E9%B3%A5%E5%8F%96%E5%B8%82%E6%9D%B1%E5%93%81%E6%B2%BB%E7%94%BA111-1+%E3%82%B7%E3%83%A3%E3%83%9F%E3%83%8D%E9%B3%A5%E5%8F%96+%E6%9C%AC%E9%A4%A8","1"
